IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.84.124,8080,8080,false,SIN,Asia Pacific,Singapore,11,0.00
47.237.8.82,2082,2082,false,SIN,Asia Pacific,Singapore,11,0.00
8.222.208.38,2095,2095,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.191.40,8880,8880,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.1.92,2086,2086,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.86.200,2083,2083,true,SIN,Asia Pacific,Singapore,11,0.00
47.245.114.163,80,80,false,SIN,Asia Pacific,Singapore,11,0.00
47.245.105.224,2086,2086,false,SIN,Asia Pacific,Singapore,11,0.00
8.222.144.50,80,80,false,SIN,Asia Pacific,Singapore,11,0.00
47.237.83.20,2095,2095,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.93.5,80,80,false,SIN,Asia Pacific,Singapore,12,0.00
47.237.14.220,80,80,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.111.175,8443,8443,true,SIN,Asia Pacific,Singapore,12,0.00
8.219.78.1,2095,2095,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.107.135,8880,8880,false,SIN,Asia Pacific,Singapore,12,0.00
47.237.84.173,2052,2052,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.0.162,8080,8080,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.87.30,8080,8080,false,SIN,Asia Pacific,Singapore,12,0.00
8.222.244.192,8080,8080,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.11.158,2086,2086,false,SIN,Asia Pacific,Singapore,12,0.00
47.236.254.120,80,80,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.248.47,8080,8080,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.77.222,80,80,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.84.214,443,443,true,SIN,Asia Pacific,Singapore,12,0.00
47.236.17.193,80,80,false,SIN,Asia Pacific,Singapore,12,0.00
8.222.162.45,2082,2082,false,SIN,Asia Pacific,Singapore,12,0.00
47.237.11.182,2082,2082,false,SIN,Asia Pacific,Singapore,12,0.00
8.222.160.176,8880,8880,false,SIN,Asia Pacific,Singapore,12,0.00
47.236.237.90,8080,8080,false,SIN,Asia Pacific,Singapore,12,0.00
47.236.146.249,2082,2082,false,SIN,Asia Pacific,Singapore,12,0.00
47.237.11.182,8080,8080,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.83.201,2086,2086,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.6.150,8880,8880,false,SIN,Asia Pacific,Singapore,12,0.00
47.237.82.15,2052,2052,false,SIN,Asia Pacific,Singapore,12,0.00
47.237.100.206,2086,2086,false,SIN,Asia Pacific,Singapore,12,0.00
47.236.237.90,2052,2052,false,SIN,Asia Pacific,Singapore,12,0.00
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,12,0.00
47.237.82.15,8080,8080,false,SIN,Asia Pacific,Singapore,12,0.00
8.222.193.65,2052,2052,false,SIN,Asia Pacific,Singapore,12,0.00
8.222.215.228,2052,2052,false,SIN,Asia Pacific,Singapore,12,0.00
8.222.160.176,8080,8080,false,SIN,Asia Pacific,Singapore,12,0.00
8.222.180.86,8880,8880,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.5.10,2086,2086,false,SIN,Asia Pacific,Singapore,12,0.00
47.237.83.20,80,80,false,SIN,Asia Pacific,Singapore,13,0.00
47.236.237.90,8880,8880,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.198.139,8880,8880,false,SIN,Asia Pacific,Singapore,13,0.00
47.237.95.156,2095,2095,false,SIN,Asia Pacific,Singapore,13,0.00
8.222.134.170,2086,2086,false,SIN,Asia Pacific,Singapore,13,0.00
47.237.83.20,8880,8880,false,SIN,Asia Pacific,Singapore,13,0.00
8.222.144.50,2095,2095,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.86.200,2086,2086,false,SIN,Asia Pacific,Singapore,13,0.00
47.236.83.239,2086,2086,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.51.211,2052,2052,false,SIN,Asia Pacific,Singapore,13,0.00
8.222.237.131,2095,2095,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.191.110,2086,2086,false,SIN,Asia Pacific,Singapore,13,0.00
8.222.187.4,8080,8080,false,SIN,Asia Pacific,Singapore,13,0.00
8.222.249.190,2086,2086,false,SIN,Asia Pacific,Singapore,13,0.00
47.236.80.110,8080,8080,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.235.164,8080,8080,false,SIN,Asia Pacific,Singapore,13,0.00
47.237.11.182,8080,8080,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.177.205,2086,2086,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.193.202,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.00
8.222.249.190,8880,8880,false,SIN,Asia Pacific,Singapore,13,0.00
47.237.83.20,2052,2052,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.174.142,2086,2086,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.163.195,2052,2052,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.191.40,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.200.145,2052,2052,false,SIN,Asia Pacific,Singapore,13,0.00
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.235.164,2083,2083,true,SIN,Asia Pacific,Singapore,13,0.00
47.237.8.82,2095,2095,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.191.110,8880,8880,false,SIN,Asia Pacific,Singapore,13,0.00
47.245.86.230,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.00
8.222.162.45,80,80,false,SIN,Asia Pacific,Singapore,13,0.00
47.236.130.95,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.00
47.245.118.70,2095,2095,false,SIN,Asia Pacific,Singapore,13,0.00
47.236.104.11,2095,2095,false,SIN,Asia Pacific,Singapore,13,0.00
8.222.150.197,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.240.160,80,80,false,SIN,Asia Pacific,Singapore,13,0.00
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,13,0.00
47.237.94.140,80,80,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.235.164,2095,2095,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.51.211,8880,8880,false,SIN,Asia Pacific,Singapore,13,0.00
47.237.82.15,2095,2095,false,SIN,Asia Pacific,Singapore,13,0.00
47.236.97.90,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.4.122,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.118.216,2095,2095,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.50.180,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.237.250,2052,2052,false,SIN,Asia Pacific,Singapore,14,0.00
47.237.82.15,80,80,false,SIN,Asia Pacific,Singapore,14,0.00
8.222.156.242,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.201.8,2086,2086,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.170.232,2086,2086,false,SIN,Asia Pacific,Singapore,14,0.00
47.237.92.26,2052,2052,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.161.129,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
47.237.10.1,2095,2095,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.199.220,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.100.168,2095,2095,false,SIN,Asia Pacific,Singapore,14,0.00
8.222.162.45,2086,2086,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.17.193,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
47.237.95.13,2052,2052,false,SIN,Asia Pacific,Singapore,14,0.00
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
8.222.137.192,2095,2095,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.163.195,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
47.245.102.52,8080,8080,false,SIN,Asia Pacific,Singapore,14,0.00
8.222.193.65,2052,2052,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.237.90,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.83.71,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
8.222.174.108,80,80,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.174.142,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
8.222.215.228,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
47.237.95.156,80,80,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.169.164,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.237.250,2095,2095,false,SIN,Asia Pacific,Singapore,14,0.00
47.237.8.82,2052,2052,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.174.142,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
8.222.146.222,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
47.245.105.224,2095,2095,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.11.158,8080,8080,false,SIN,Asia Pacific,Singapore,14,0.00
8.222.167.147,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.51.211,80,80,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.235.164,8080,8080,false,SIN,Asia Pacific,Singapore,14,0.00
8.222.180.86,80,80,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.180.51,2052,2052,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.17.193,2082,2082,false,SIN,Asia Pacific,Singapore,15,0.00
47.245.84.124,80,80,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.244.192,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.253.41,80,80,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.222.64,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.137.192,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.82.15,2082,2082,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.124.227,2086,2086,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.110.81,2082,2082,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.0.31,8080,8080,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.165.117,80,80,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.6.150,2052,2052,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.81.112,2082,2082,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.75.113,2095,2095,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.40.37,8080,8080,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.150.197,80,80,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.82.15,2052,2052,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.87.246,2052,2052,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.254.120,2082,2082,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.14.220,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.191.40,2086,2086,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.170.54,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.86.185,2086,2086,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.104.37,8080,8080,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.86.185,2095,2095,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.254.120,80,80,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.81.112,2052,2052,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.237.131,2086,2086,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.97.50,2086,2086,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.184.198,80,80,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.11.182,2095,2095,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.81.112,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.177.205,2052,2052,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.164.209,2095,2095,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.208.38,8080,8080,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.84.173,2052,2052,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.60.54,2086,2086,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.156.242,2095,2095,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.10.1,8080,8080,false,SIN,Asia Pacific,Singapore,15,0.00
47.245.84.124,8080,8080,false,SIN,Asia Pacific,Singapore,15,0.00
47.237.10.1,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.80.110,2082,2082,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.49.65,8080,8080,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.106.156,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.232.148,2082,2082,false,SIN,Asia Pacific,Singapore,16,0.00
47.236.9.152,2086,2086,false,SIN,Asia Pacific,Singapore,16,0.00
8.222.146.222,2086,2086,false,SIN,Asia Pacific,Singapore,16,0.00
47.237.86.185,80,80,false,SIN,Asia Pacific,Singapore,16,0.00
47.236.10.182,2086,2086,false,SIN,Asia Pacific,Singapore,16,0.00
47.237.10.1,2082,2082,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.220.88,8080,8080,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.198.139,80,80,false,SIN,Asia Pacific,Singapore,16,0.00
47.237.94.140,2086,2086,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.198.139,8080,8080,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.87.30,80,80,false,SIN,Asia Pacific,Singapore,16,0.00
47.245.114.163,80,80,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.198.139,2053,2053,true,SIN,Asia Pacific,Singapore,16,0.00
8.219.199.220,2052,2052,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.202.130,2086,2086,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.5.10,8880,8880,false,SIN,Asia Pacific,Singapore,16,0.00
8.222.167.147,2086,2086,false,SIN,Asia Pacific,Singapore,16,0.00
8.222.208.38,8880,8880,false,SIN,Asia Pacific,Singapore,16,0.00
47.236.93.176,2082,2082,false,SIN,Asia Pacific,Singapore,16,0.00
8.222.249.190,2082,2082,false,SIN,Asia Pacific,Singapore,16,0.00
8.222.179.231,2095,2095,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.210.57,8080,8080,false,SIN,Asia Pacific,Singapore,16,0.00
8.222.160.176,2086,2086,false,SIN,Asia Pacific,Singapore,16,0.00
8.222.167.147,8080,8080,false,SIN,Asia Pacific,Singapore,16,0.00
8.222.215.228,80,80,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.4.122,2086,2086,false,SIN,Asia Pacific,Singapore,16,0.00
47.237.92.26,2095,2095,false,SIN,Asia Pacific,Singapore,16,0.00
8.222.184.198,2052,2052,false,SIN,Asia Pacific,Singapore,16,0.00
47.236.254.120,2095,2095,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.209.14,8880,8880,false,SIN,Asia Pacific,Singapore,16,0.00
47.236.10.182,8880,8880,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.87.30,2052,2052,false,SIN,Asia Pacific,Singapore,16,0.00
47.236.144.48,2086,2086,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.0.162,8880,8880,false,SIN,Asia Pacific,Singapore,16,0.00
47.236.232.148,8880,8880,false,SIN,Asia Pacific,Singapore,16,0.00
47.237.8.82,8880,8880,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.6.150,80,80,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.193.202,2052,2052,false,SIN,Asia Pacific,Singapore,16,0.00
8.219.6.150,8880,8880,false,SIN,Asia Pacific,Singapore,16,0.00
47.237.11.182,8880,8880,false,SIN,Asia Pacific,Singapore,16,0.00
47.236.237.90,8880,8880,false,SIN,Asia Pacific,Singapore,16,0.00
8.222.156.242,80,80,false,SIN,Asia Pacific,Singapore,17,0.00
8.222.249.190,8080,8080,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.132.64,8080,8080,false,SIN,Asia Pacific,Singapore,17,0.00
47.236.10.100,80,80,false,SIN,Asia Pacific,Singapore,17,0.00
47.237.10.1,80,80,false,SIN,Asia Pacific,Singapore,17,0.00
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.235.164,80,80,false,SIN,Asia Pacific,Singapore,17,0.00
47.237.0.31,2095,2095,false,SIN,Asia Pacific,Singapore,17,0.00
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,17,0.00
8.222.191.138,8880,8880,false,SIN,Asia Pacific,Singapore,17,0.00
47.237.8.82,2052,2052,false,SIN,Asia Pacific,Singapore,17,0.00
47.237.11.182,80,80,false,SIN,Asia Pacific,Singapore,17,0.00
47.236.104.11,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.00
8.222.144.50,8880,8880,false,SIN,Asia Pacific,Singapore,17,0.00
47.236.10.100,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.00
47.236.17.193,2086,2086,false,SIN,Asia Pacific,Singapore,17,0.00
8.222.160.176,8080,8080,false,SIN,Asia Pacific,Singapore,17,0.00
47.237.84.173,2095,2095,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.193.202,8880,8880,false,SIN,Asia Pacific,Singapore,17,0.00
47.236.166.131,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.114.201,2052,2052,false,SIN,Asia Pacific,Singapore,17,0.00
8.222.150.197,2095,2095,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.237.250,80,80,false,SIN,Asia Pacific,Singapore,17,0.00
8.222.179.231,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.77.222,2052,2052,false,SIN,Asia Pacific,Singapore,17,0.00
8.222.215.228,8080,8080,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.163.195,2086,2086,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.189.143,2095,2095,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.209.14,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.111.147,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.60.54,2095,2095,false,SIN,Asia Pacific,Singapore,17,0.00
47.237.8.82,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.00
8.222.164.209,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.00
8.222.244.192,80,80,false,SIN,Asia Pacific,Singapore,17,0.00
47.236.75.113,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.177.205,2095,2095,false,SIN,Asia Pacific,Singapore,17,0.00
47.237.82.15,2082,2082,false,SIN,Asia Pacific,Singapore,17,0.00
8.219.6.150,8080,8080,false,SIN,Asia Pacific,Singapore,18,0.00
47.236.202.91,8880,8880,false,SIN,Asia Pacific,Singapore,18,0.00
47.245.102.52,2086,2086,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.14.220,2052,2052,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.137.192,8080,8080,false,SIN,Asia Pacific,Singapore,18,0.00
47.236.232.148,2052,2052,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.215.228,8880,8880,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.100.168,2082,2082,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.95.140,8880,8880,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.237.131,8080,8080,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.181.117,80,80,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.181.117,8080,8080,false,SIN,Asia Pacific,Singapore,18,0.00
47.236.253.41,2052,2052,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.136.247,2095,2095,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.200.145,2086,2086,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.11.182,8880,8880,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.110.81,2095,2095,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.162.45,2082,2082,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.113.232,8880,8880,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.94.140,2052,2052,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.184.198,2095,2095,false,SIN,Asia Pacific,Singapore,18,0.00
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.244.192,2052,2052,false,SIN,Asia Pacific,Singapore,18,0.00
47.236.118.216,2052,2052,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.113.232,80,80,false,SIN,Asia Pacific,Singapore,18,0.00
47.236.253.41,2052,2052,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.237.131,80,80,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.94.140,2082,2082,false,SIN,Asia Pacific,Singapore,18,0.00
47.236.253.41,2086,2086,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.8.82,2095,2095,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.191.110,8080,8080,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.84.214,2095,2095,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.4.233,80,80,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.86.185,80,80,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.117.198,8080,8080,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.229.190,2052,2052,false,SIN,Asia Pacific,Singapore,18,0.00
47.236.174.206,2086,2086,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.11.182,2052,2052,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.117.198,2095,2095,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.240.160,2082,2082,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.170.232,80,80,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.132.64,2086,2086,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.181.117,2082,2082,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.209.14,80,80,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.81.112,8080,8080,false,SIN,Asia Pacific,Singapore,18,0.00
47.236.10.100,8880,8880,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.184.198,2052,2052,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.191.110,2086,2086,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.95.146,80,80,false,SIN,Asia Pacific,Singapore,18,0.00
8.219.170.232,2082,2082,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.95.13,80,80,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.244.192,2086,2086,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.193.65,80,80,false,SIN,Asia Pacific,Singapore,18,0.00
8.222.164.209,2095,2095,false,SIN,Asia Pacific,Singapore,18,0.00
47.237.0.31,80,80,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.95.146,2095,2095,false,SIN,Asia Pacific,Singapore,19,0.00
47.236.167.231,8880,8880,false,SIN,Asia Pacific,Singapore,19,0.00
8.222.162.45,2086,2086,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.10.1,80,80,false,SIN,Asia Pacific,Singapore,19,0.00
47.236.83.239,2082,2082,false,SIN,Asia Pacific,Singapore,19,0.00
8.222.180.86,8080,8080,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.82.15,8880,8880,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.139.13,8880,8880,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.8.82,80,80,false,SIN,Asia Pacific,Singapore,19,0.00
8.222.191.138,80,80,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.94.140,2086,2086,false,SIN,Asia Pacific,Singapore,19,0.00
47.236.5.223,80,80,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.189.143,80,80,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.60.54,80,80,false,SIN,Asia Pacific,Singapore,19,0.00
47.236.5.223,80,80,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.4.233,80,80,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.124.227,2052,2052,false,SIN,Asia Pacific,Singapore,19,0.00
8.222.150.197,2052,2052,false,SIN,Asia Pacific,Singapore,19,0.00
47.236.168.17,8880,8880,false,SIN,Asia Pacific,Singapore,19,0.00
8.222.183.242,2082,2082,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.198.139,8880,8880,false,SIN,Asia Pacific,Singapore,19,0.00
8.222.137.192,2086,2086,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.201.8,8880,8880,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.81.112,2052,2052,false,SIN,Asia Pacific,Singapore,19,0.00
8.222.214.231,2086,2086,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.104.37,2052,2052,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.81.112,8880,8880,false,SIN,Asia Pacific,Singapore,19,0.00
47.236.17.193,2095,2095,false,SIN,Asia Pacific,Singapore,19,0.00
8.222.249.190,80,80,false,SIN,Asia Pacific,Singapore,19,0.00
47.236.87.246,2095,2095,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.95.146,2086,2086,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.10.1,8080,8080,false,SIN,Asia Pacific,Singapore,19,0.00
8.222.165.117,8880,8880,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.0.162,2086,2086,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,19,0.00
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,19,0.00
47.236.169.164,2082,2082,false,SIN,Asia Pacific,Singapore,19,0.00
47.236.5.223,2052,2052,false,SIN,Asia Pacific,Singapore,19,0.00
47.237.83.20,2052,2052,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.103.65,2086,2086,false,SIN,Asia Pacific,Singapore,19,0.00
47.236.121.23,2086,2086,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.1.92,8880,8880,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.229.190,2086,2086,false,SIN,Asia Pacific,Singapore,20,0.00
47.236.75.113,2086,2086,false,SIN,Asia Pacific,Singapore,20,0.00
8.219.5.10,2095,2095,false,SIN,Asia Pacific,Singapore,20,0.00
8.219.93.5,8080,8080,false,SIN,Asia Pacific,Singapore,20,0.00
47.237.95.13,8880,8880,false,SIN,Asia Pacific,Singapore,20,0.00
8.219.194.170,2052,2052,false,SIN,Asia Pacific,Singapore,20,0.00
8.222.156.242,2086,2086,false,SIN,Asia Pacific,Singapore,20,0.00
47.236.102.102,80,80,false,SIN,Asia Pacific,Singapore,20,0.00
8.219.147.58,2052,2052,false,SIN,Asia Pacific,Singapore,20,0.00
8.219.170.232,2052,2052,false,SIN,Asia Pacific,Singapore,20,0.00
47.236.237.90,2082,2082,false,SIN,Asia Pacific,Singapore,20,0.00
8.222.249.190,80,80,false,SIN,Asia Pacific,Singapore,20,0.00
47.236.145.85,2086,2086,false,SIN,Asia Pacific,Singapore,20,0.00
8.219.40.37,2082,2082,false,SIN,Asia Pacific,Singapore,20,0.00
